premio_effet_anno_incorso,eta_polizza,bonus_malus
1951.4,3,11
265.4619,9,1F
276.8434,10,1G
289.58117999999996,6,1H
173.864,24,1F
255.9962,25,1G
257.3323,26,1H
357.73,13,1F
402.85,7,1G
411.39,8,1H
379.14300000000003,13,01
394.593,7,1A
410.4475,8,1B
276.0297,11,1F
285.7838,7,1G
291.19672,8,1H
444.55,12,05
462.43,7,04
481.53,8,03
419.82800000000003,8,1B
462.1095,9,1A
461.66085999999996,10,1A
436.1432,12,1F
475.9939,7,1G
487.68427,8,1H
449.9864,7,1E
478.4453,7,1F
497.45975,8,1G
345.668,12,1F
357.8632,13,1G
374.556,7,1H
332.8239,9,1C
340.9712,10,1D
357.71127,11,1E
460.02,11,1E
478.31,12,1F
478.31,13,1F
348.8919,9,1B
347.2542,7,1C
354.22296,8,1D
627.991,26,04
643.4513,7,03
673.6863,8,02
441.03,8,06
452.01,9,05
471.12,10,04
354.31,12,1B
368.55,7,1C
384.0,8,1D
310.8231,11,1F
323.0183,7,1G
322.70468,8,1G
319.19,11,1D
324.47,7,1E
331.38,8,1F
506.0493,6,01
497.1089,7,1A
515.28204,7,1B
373.4986,15,1F
388.1452,7,1G
403.9957,8,1H
337.3868,7,1D
351.1991,8,1E
365.51108,7,1F
405.4698,7,04
405.4698,8,03
413.17438,7,02
365.0114,6,1F
379.6477,7,1G
394.70383,8,1H
337.9121,8,1E
378.5456,9,1F
393.62338,7,1G
704.9114,5,09
667.5018,6,08
680.64233,7,07
500.51,7,01
513.11,7,1A
534.25,8,1B
267.46,21,1F
330.07,22,1E
343.48,23,1F
517.57,7,01
504.35,8,1A
514.91,7,1B
391.29,19,02
406.74,20,01
423.81,21,1A
428.4,13,1F
445.41,7,1G
462.48,8,1H
548.0836,8,05
548.0836,7,04
575.16986,8,03
318.04,11,1D
338.56,12,1E
354.41,7,1F
348.57,10,02
342.96,11,01
359.22,12,1A
395.7878,10,1F
434.0111,11,1G
307.043,7,1F
358.2546,7,1G
372.55975,8,1H
529.16,10,1C
550.3,11,1D
572.65,7,1E
277.75,14,1D
282.85,15,1E
288.95,16,1F
418.0667,6,02
415.6462,7,01
415.24265,7,01
232.4813,7,1F
329.1983,8,1E
328.8787,7,1E
381.63,6,1D
390.0,7,1E
398.13,7,1F
800.4645,7,11
295.38,12,1F
329.68,13,1G
342.28,7,1H
463.15,7,01
463.19,8,1A
487.22,8,1B
364.42,8,1A
359.31,9,1B
372.72,7,1C
